타임스탬프,What genre of music do you most likely to listen to?(Select 3 ),What kind of fashion style do you like the most? / 가장 좋아하는 패션 스타일은 무엇입니까? (Select 3 / 3가지 선택),What kind of art performances do you like the most? / 가장 좋아하는 공연은 무엇입니까?,What kind of art exhibitions do you like the most? / 가장 좋아하는 전시회는 무엇입니까?
2019. 11. 7 오후 6:47:21,"Pop (팝), R&B / Soul (R&B/소울), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Grunge (그런지룩)",Musicals (뮤지컬),Photography (사진)
2019. 11. 7 오후 6:47:45,"Dance (댄스), Rap/ Hip Hop (랩/힙합), Rock / Metal (락/메탈)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩), Techwear (테크웨어룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 7 오후 6:48:09,"Pop (팝), Rap/ Hip Hop (랩/힙합), Rock / Metal (락/메탈)","Casual (캐주얼룩), Street (스트릿룩), Techwear (테크웨어룩)",Music Performances (음악),Photography (사진)
2019. 11. 7 오후 6:48:44,"Idol (아이돌), Ballad (발라드), Indie (인디)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Traditional Art (전통예술),Crafting (공예)
2019. 11. 7 오후 6:56:27,"Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울), Indie (인디)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Preppy (프레피룩), Dandy (댄디룩)",Music Performances (음악),Photography (사진)
2019. 11. 7 오후 7:06:37,"Idol (아이돌), Ballad (발라드), Indie (인디)","Casual (캐주얼룩), Vintage (빈티지룩), Chic (시크룩)",Musicals (뮤지컬),Photography (사진)
2019. 11. 7 오후 7:09:31,"Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울), Indie (인디)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 7 오후 7:11:32,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Chic (시크룩), Grunge (그런지룩)",Dance (댄스),Paintings (회화)
2019. 11. 7 오후 7:19:24,"Idol (아이돌), Dance (댄스), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Bohemian (보헤미안룩), Dandy (댄디룩)",Theater (연극),Architecture (건축)
2019. 11. 7 오후 7:24:00,"Pop (팝), Idol (아이돌), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Athleisure (애스레저룩)",Music Performances (음악),Photography (사진)
2019. 11. 7 오후 7:56:55,"Pop (팝), Idol (아이돌), Rock / Metal (락/메탈)","Casual (캐주얼룩), Grunge (그런지룩), Dandy (댄디룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 7 오후 8:44:44,"Pop (팝), Ballad (발라드), Indie (인디)","Casual (캐주얼룩), Techwear (테크웨어룩), Dandy (댄디룩)",Music Performances (음악),"Photography (사진), Art Design (디자인)"
2019. 11. 7 오후 9:07:57,"Pop (팝), R&B / Soul (R&B/소울), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Chic (시크룩)",Theater (연극),Sculptures (조각)
2019. 11. 7 오후 9:08:09,"Pop (팝), Idol (아이돌), Ballad (발라드)","Casual (캐주얼룩), Athleisure (애스레저룩), Chic (시크룩)",Musicals (뮤지컬),Photography (사진)
2019. 11. 7 오후 9:09:38,"Pop (팝), Idol (아이돌), Dance (댄스)","Street (스트릿룩), Chic (시크룩), Bohemian (보헤미안룩)",Music Performances (음악),"Paintings (회화), Photography (사진)"
2019. 11. 7 오후 9:14:27,"Pop (팝), Idol (아이돌), Ballad (발라드)","Street (스트릿룩), Grunge (그런지룩), Techwear (테크웨어룩)",Dance (댄스),"Photography (사진), Art Design (디자인)"
2019. 11. 7 오후 9:30:26,"Idol (아이돌), Dance (댄스), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Athleisure (애스레저룩), Street (스트릿룩)",Dance (댄스),Photography (사진)
2019. 11. 7 오후 9:30:40,"Pop (팝), R&B / Soul (R&B/소울), Indie (인디)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Vintage (빈티지룩)",Music Performances (음악),"Paintings (회화), Sculptures (조각), Photography (사진), Art Design (디자인), Architecture (건축)"
2019. 11. 7 오후 9:33:12,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Athleisure (애스레저룩), Street (스트릿룩), Grunge (그런지룩)",Music Performances (음악),"Paintings (회화), Photography (사진)"
2019. 11. 7 오후 9:36:04,"Idol (아이돌), Ballad (발라드), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Preppy (프레피룩)",Dance (댄스),"Paintings (회화), Photography (사진)"
