74,Dance (댄스),Rock / Metal (락/메탈),Trot (트로트),No Data !
75,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Indie (인디),No Data !
76,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Rock / Metal (락/메탈),No Data !
77,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Trot (트로트),No Data !
78,Rap/ Hip Hop (랩/힙합),Indie (인디),Rock / Metal (락/메탈),No Data !
79,Rap/ Hip Hop (랩/힙합),Indie (인디),Trot (트로트),No Data !
80,Rap/ Hip Hop (랩/힙합),Rock / Metal (락/메탈),Trot (트로트),No Data !
81,RnB / Soul (RnB/소울),Indie (인디),Rock / Metal (락/메탈),No Data !
82,RnB / Soul (RnB/소울),Indie (인디),Trot (트로트),No Data !
83,RnB / Soul (RnB/소울),Rock / Metal (락/메탈),Trot (트로트),No Data !
84,Indie (인디),Rock / Metal (락/메탈),Trot (트로트),No Data !
