75,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Indie (인디),Music Performance
76,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Rock / Metal (락/메탈),Dance
77,Rap/ Hip Hop (랩/힙합),RnB / Soul (RnB/소울),Trot (트로트),Musical
78,Rap/ Hip Hop (랩/힙합),Indie (인디),Rock / Metal (락/메탈),Dance
79,Rap/ Hip Hop (랩/힙합),Indie (인디),Trot (트로트),Music Performance
80,Rap/ Hip Hop (랩/힙합),Rock / Metal (락/메탈),Trot (트로트),Theater
81,RnB / Soul (RnB/소울),Indie (인디),Rock / Metal (락/메탈),Dance
82,RnB / Soul (RnB/소울),Indie (인디),Trot (트로트),Musical
83,RnB / Soul (RnB/소울),Rock / Metal (락/메탈),Trot (트로트),Dance
84,Indie (인디),Rock / Metal (락/메탈),Trot (트로트),Music Performance
